time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2024-05-17 07:50:00,1.08563,1.08567,1.08553,1.08562,288,0,0,2024-05-17 07:55:00,2024-05-17 07:51:00
2024-05-17 08:00:00,1.08563,1.08594,1.08554,1.08593,354,0,0,2024-05-17 08:02:00,2024-05-17 08:08:00
2024-05-17 08:10:00,1.08592,1.08594,1.08581,1.08583,311,0,0,2024-05-17 08:12:00,2024-05-17 08:10:00
2024-05-17 08:20:00,1.08582,1.08585,1.08564,1.0857,206,0,0,2024-05-17 08:28:00,2024-05-17 08:21:00
2024-05-17 08:30:00,1.08569,1.08608,1.08567,1.08601,398,0,0,2024-05-17 08:30:00,2024-05-17 08:38:00
2024-05-17 08:40:00,1.08602,1.08623,1.08602,1.0861,265,0,0,2024-05-17 08:40:00,2024-05-17 08:46:00
2024-05-17 08:50:00,1.08611,1.08623,1.08588,1.08613,458,0,0,2024-05-17 08:51:00,2024-05-17 08:58:00
2024-05-17 09:00:00,1.08612,1.08657,1.08608,1.08652,620,0,0,2024-05-17 09:00:00,2024-05-17 09:09:00
2024-05-17 09:10:00,1.08653,1.08666,1.08641,1.08659,606,0,0,2024-05-17 09:12:00,2024-05-17 09:18:00
2024-05-17 09:20:00,1.08658,1.08666,1.08628,1.08633,518,0,0,2024-05-17 09:28:00,2024-05-17 09:22:00
2024-05-17 09:30:00,1.08632,1.08646,1.08606,1.08615,574,0,0,2024-05-17 09:38:00,2024-05-17 09:34:00
2024-05-17 09:40:00,1.08616,1.08616,1.08594,1.08596,465,0,0,2024-05-17 09:45:00,2024-05-17 09:40:00
2024-05-17 09:50:00,1.08597,1.08629,1.08583,1.08628,667,0,0,2024-05-17 09:50:00,2024-05-17 09:59:00
2024-05-17 10:00:00,1.08629,1.08657,1.08624,1.08639,879,0,0,2024-05-17 10:02:00,2024-05-17 10:00:00
2024-05-17 10:10:00,1.08637,1.08685,1.08632,1.08673,714,0,0,2024-05-17 10:10:00,2024-05-17 10:18:00
2024-05-17 10:20:00,1.08672,1.08679,1.08654,1.08672,605,0,0,2024-05-17 10:26:00,2024-05-17 10:21:00
2024-05-17 10:30:00,1.08671,1.08675,1.08616,1.08625,830,0,0,2024-05-17 10:39:00,2024-05-17 10:30:00
2024-05-17 10:40:00,1.08624,1.08627,1.08584,1.08584,494,0,0,2024-05-17 10:49:00,2024-05-17 10:42:00
2024-05-17 10:50:00,1.08584,1.08592,1.08574,1.0859,637,0,0,2024-05-17 10:56:00,2024-05-17 10:52:00
2024-05-17 11:00:00,1.08588,1.08596,1.0851,1.08515,892,0,0,2024-05-17 11:09:00,2024-05-17 11:00:00
2024-05-17 11:10:00,1.08516,1.08524,1.08476,1.08489,940,0,0,2024-05-17 11:14:00,2024-05-17 11:11:00
2024-05-17 11:20:00,1.0849,1.08516,1.08484,1.08495,719,0,0,2024-05-17 11:21:00,2024-05-17 11:25:00
2024-05-17 11:30:00,1.08494,1.08495,1.08415,1.08441,977,0,0,2024-05-17 11:37:00,2024-05-17 11:30:00
2024-05-17 11:40:00,1.0844,1.08456,1.08418,1.08455,722,0,0,2024-05-17 11:43:00,2024-05-17 11:49:00
2024-05-17 11:50:00,1.08457,1.08462,1.08427,1.08442,577,0,0,2024-05-17 11:54:00,2024-05-17 11:52:00
2024-05-17 12:00:00,1.08443,1.08468,1.08411,1.08427,596,0,0,2024-05-17 12:07:00,2024-05-17 12:03:00
2024-05-17 12:10:00,1.08428,1.08445,1.08414,1.08418,723,0,0,2024-05-17 12:18:00,2024-05-17 12:14:00
2024-05-17 12:20:00,1.08419,1.0843,1.08411,1.08417,519,0,0,2024-05-17 12:24:00,2024-05-17 12:26:00
2024-05-17 12:30:00,1.08416,1.08434,1.08414,1.08432,413,0,0,2024-05-17 12:32:00,2024-05-17 12:39:00
2024-05-17 12:40:00,1.08433,1.08448,1.0843,1.08444,513,0,0,2024-05-17 12:40:00,2024-05-17 12:43:00
2024-05-17 12:50:00,1.08445,1.0845,1.08428,1.08447,565,0,0,2024-05-17 12:57:00,2024-05-17 12:56:00
2024-05-17 13:00:00,1.08446,1.08446,1.08413,1.08438,508,0,0,2024-05-17 13:07:00,2024-05-17 13:00:00
2024-05-17 13:10:00,1.08437,1.08441,1.08415,1.08424,487,0,0,2024-05-17 13:13:00,2024-05-17 13:10:00
2024-05-17 13:20:00,1.08425,1.08446,1.08422,1.08427,526,0,0,2024-05-17 13:28:00,2024-05-17 13:22:00
2024-05-17 13:30:00,1.08428,1.08446,1.08424,1.08434,559,0,0,2024-05-17 13:39:00,2024-05-17 13:35:00
2024-05-17 13:40:00,1.08435,1.08437,1.08416,1.08418,478,0,0,2024-05-17 13:49:00,2024-05-17 13:41:00
2024-05-17 13:50:00,1.08417,1.08419,1.08359,1.08384,818,0,0,2024-05-17 13:54:00,2024-05-17 13:50:00
2024-05-17 14:00:00,1.08383,1.08396,1.08356,1.08387,512,0,0,2024-05-17 14:07:00,2024-05-17 14:01:00
2024-05-17 14:10:00,1.08386,1.08401,1.08383,1.08393,533,0,0,2024-05-17 14:11:00,2024-05-17 14:14:00
2024-05-17 14:20:00,1.08394,1.08418,1.08391,1.08404,491,0,0,2024-05-17 14:20:00,2024-05-17 14:23:00
2024-05-17 14:30:00,1.08402,1.08432,1.08401,1.08425,486,0,0,2024-05-17 14:30:00,2024-05-17 14:36:00
2024-05-17 14:40:00,1.08424,1.08438,1.08422,1.08437,397,0,0,2024-05-17 14:40:00,2024-05-17 14:47:00
2024-05-17 14:50:00,1.08438,1.08456,1.08432,1.08432,584,0,0,2024-05-17 14:50:00,2024-05-17 14:56:00
2024-05-17 15:00:00,1.08433,1.08459,1.08427,1.08439,806,0,0,2024-05-17 15:00:00,2024-05-17 15:02:00
