time,open,high,low,close,tick_volume,spread,real_volume
2023-10-19 23:00:00,0.63335,0.63337,0.63263,0.6328,1725,0,0
2023-10-20 00:00:00,0.63284,0.6329,0.63248,0.63261,879,8,0
2023-10-20 01:00:00,0.6326,0.63288,0.63208,0.63211,1359,0,0
2023-10-20 02:00:00,0.6321,0.63245,0.63194,0.63244,2216,0,0
2023-10-20 03:00:00,0.63243,0.63246,0.63101,0.63141,3370,0,0
2023-10-20 04:00:00,0.63142,0.63172,0.63051,0.63141,4478,0,0
2023-10-20 05:00:00,0.6314,0.63242,0.63116,0.6323,3252,0,0
2023-10-20 06:00:00,0.63229,0.63247,0.63176,0.63198,2782,0,0
2023-10-20 07:00:00,0.63197,0.63199,0.63131,0.63152,2149,0,0
2023-10-20 08:00:00,0.63152,0.632,0.63109,0.63117,2935,0,0
2023-10-20 09:00:00,0.63117,0.63156,0.63041,0.63142,4003,0,0
2023-10-20 10:00:00,0.63144,0.63144,0.63012,0.63017,4806,0,0
2023-10-20 11:00:00,0.63015,0.63148,0.62971,0.63128,3800,0,0
2023-10-20 12:00:00,0.63127,0.6317,0.63078,0.63135,3429,0,0
2023-10-20 13:00:00,0.63136,0.63152,0.63089,0.63132,2681,0,0
2023-10-20 14:00:00,0.63134,0.63167,0.63106,0.63132,3155,0,0
2023-10-20 15:00:00,0.63132,0.63161,0.62992,0.63095,4886,0,0
2023-10-20 16:00:00,0.63094,0.63245,0.63089,0.63203,5924,0,0
2023-10-20 17:00:00,0.63201,0.63244,0.63103,0.63203,6437,0,0
2023-10-20 18:00:00,0.63203,0.63257,0.63124,0.63181,5402,0,0
2023-10-20 19:00:00,0.63181,0.63196,0.63095,0.6319,3985,0,0
2023-10-20 20:00:00,0.6319,0.63249,0.63161,0.63185,4838,0,0
2023-10-20 21:00:00,0.63186,0.63193,0.63107,0.63142,4305,0,0
2023-10-20 22:00:00,0.63143,0.63162,0.63092,0.63118,4192,0,0
2023-10-20 23:00:00,0.63117,0.63141,0.63071,0.63083,1244,0,0
2023-10-23 00:00:00,0.63132,0.63161,0.63087,0.63146,858,14,0
2023-10-23 01:00:00,0.63148,0.6321,0.63104,0.6318,1605,0,0
2023-10-23 02:00:00,0.63181,0.6322,0.63174,0.63203,1844,0,0
2023-10-23 03:00:00,0.63202,0.6322,0.63075,0.63122,2698,0,0
2023-10-23 04:00:00,0.63121,0.63173,0.63075,0.63156,2780,0,0
2023-10-23 05:00:00,0.63155,0.63168,0.63078,0.63092,2366,0,0
2023-10-23 06:00:00,0.63091,0.63156,0.6309,0.63117,1655,0,0
2023-10-23 07:00:00,0.63116,0.63128,0.63085,0.63108,1513,0,0
2023-10-23 08:00:00,0.63109,0.63152,0.63105,0.63121,2197,0,0
2023-10-23 09:00:00,0.63119,0.63194,0.63079,0.63079,2690,0,0
2023-10-23 10:00:00,0.63079,0.63101,0.63018,0.63047,4000,0,0
2023-10-23 11:00:00,0.63046,0.63141,0.63044,0.63066,4193,0,0
2023-10-23 12:00:00,0.63067,0.63096,0.62913,0.62922,3637,0,0
2023-10-23 13:00:00,0.62923,0.63052,0.62887,0.63039,3218,0,0
2023-10-23 14:00:00,0.6304,0.63139,0.6303,0.63104,3319,0,0
2023-10-23 15:00:00,0.63107,0.63208,0.63048,0.63114,4637,0,0
2023-10-23 16:00:00,0.63114,0.63193,0.63023,0.6318,5495,0,0
2023-10-23 17:00:00,0.63182,0.63313,0.63164,0.63234,6695,0,0
2023-10-23 18:00:00,0.63232,0.6338,0.63222,0.63354,4556,0,0
2023-10-23 19:00:00,0.63358,0.6344,0.63324,0.6344,3561,0,0
2023-10-23 20:00:00,0.63439,0.63489,0.63393,0.63428,3280,0,0
2023-10-23 21:00:00,0.63428,0.63464,0.63383,0.6344,3106,0,0
2023-10-23 22:00:00,0.63439,0.63444,0.63298,0.63322,3933,0,0
2023-10-23 23:00:00,0.63323,0.63352,0.63321,0.63345,1190,0,0
2023-10-24 00:00:00,0.63356,0.6337,0.63291,0.63364,1257,10,0
2023-10-24 01:00:00,0.63364,0.63376,0.63334,0.63337,899,0,0
2023-10-24 02:00:00,0.63339,0.63372,0.6333,0.63362,1306,0,0
2023-10-24 03:00:00,0.63366,0.63444,0.63353,0.63428,2469,0,0
2023-10-24 04:00:00,0.6343,0.63518,0.63385,0.63423,4191,0,0
2023-10-24 05:00:00,0.63425,0.63619,0.63394,0.63579,3836,0,0
